,productAsin,country,date,isVerified,ratingScore,reviewTitle,variantAsin,Color,Size
2713,B09G9D8KRQ,India,13-08-2024,True,4,Delivered on scheduled date,B09G9BL5CP,Blue,128 GB
2714,B09G9D8KRQ,India,06-08-2024,True,4,Value for Money,B09G9BL5CP,Blue,128 GB
2715,B09G9D8KRQ,India,16-08-2024,True,4,Nice,B09G9BL5CP,Blue,128 GB
2716,B09G9D8KRQ,India,06-09-2024,True,5,,B09G9BL5CP,Blue,128 GB
2717,B09G9D8KRQ,India,17-09-2024,True,5,Decent Phone. Working like a charm,B09G99CW2N,,
2718,B09G9D8KRQ,India,30-07-2022,True,4,Review after 1 week of usage,B09G99CW2N,,
2719,B09G9D8KRQ,India,31-08-2024,True,5,Best iPhone,B09G99CW2N,,
2720,B09G9D8KRQ,India,12-07-2024,True,4,"I loved it, if I forgot the price ",B09G99CW2N,,
2721,B09G9D8KRQ,India,14-08-2024,True,5,Excellent,B09G99CW2N,,
2722,B09G9D8KRQ,India,07-08-2024,True,5,Excellent,B09G99CW2N,,
2723,B09G9D8KRQ,India,23-07-2024,True,5,very good,B09G99CW2N,,
2724,B09G9D8KRQ,India,08-07-2024,True,5,Really nice,B09G99CW2N,,
2725,B09G9D8KRQ,India,11-05-2024,True,5,As expected...,B09G99CW2N,,
2726,B09G9D8KRQ,India,15-05-2024,True,5,Nice!!!!,B09G99CW2N,,
2727,B09G9D8KRQ,India,23-02-2024,True,3,Nice buy,B09G99CW2N,,
2728,B09G9D8KRQ,India,20-02-2022,True,3,Not a great phone!,B09G99CW2N,,
2729,B09G9D8KRQ,India,20-01-2023,True,3,Just a hyped up product,B09G99CW2N,,
2730,B09G9D8KRQ,India,02-01-2024,True,2,Not so bad,B09G99CW2N,,
2731,B09G9D8KRQ,India,24-08-2022,True,3,Everything is good only problem I face is it gets heated up if I use it for an hour.,B09G99CW2N,,
2732,B09G9D8KRQ,India,07-05-2023,True,3,Quality of product,B09G99CW2N,,
2733,B09G9D8KRQ,India,29-03-2022,True,3,Not up to mark,B09G99CW2N,,
2734,B09G9D8KRQ,India,19-12-2023,True,1,PLEASE DONT BUY IPHONES FROM AMAZON IAM GOT SCAMMED,B09G99CW2N,,
2735,B09G9D8KRQ,India,12-04-2022,True,3,Dont buy from amazone,B09G99CW2N,,
2736,B09G9D8KRQ,India,14-09-2022,True,1,Really bad experience from Apple and iPhone 13,B09G99CW2N,,
2737,B09G9D8KRQ,India,10-09-2024,True,3,Normal,B09G9BL5CP,Blue,128 GB
2738,B09G9D8KRQ,India,07-06-2024,True,3,IN 2024 and onwards not worth at all,B09G9BL5CP,Blue,128 GB
2739,B09G9D8KRQ,India,01-09-2024,True,2,Overnight battery draining issue,B09G9BL5CP,Blue,128 GB
2740,B09G9D8KRQ,India,08-09-2024,True,2,Battery backup,B09G9BL5CP,Blue,128 GB
2741,B09G9D8KRQ,India,28-02-2024,True,3,Not sure if its worth,B09G9BL5CP,Blue,128 GB
2742,B09G9D8KRQ,India,11-03-2023,True,3,An average phone in terms of utility.,B09G9BL5CP,Blue,128 GB
2743,B09G9D8KRQ,India,20-02-2024,True,3,Average,B09G9BL5CP,Blue,128 GB
2744,B09G9D8KRQ,India,16-08-2023,True,3,Battery life was good before the iOS16 updates,B09G9BL5CP,Blue,128 GB
2745,B09G9D8KRQ,India,14-09-2024,True,1,Network problem,B09G9BL5CP,Blue,128 GB
2746,B09G9D8KRQ,India,04-06-2024,True,2,Camera quality not good,B09G9BL5CP,Blue,128 GB
2747,B09G9D8KRQ,India,17-10-2021,False,1,Apple is trying to loot people,B09G93H3BR,Blue,256 GB
2748,B09G9D8KRQ,India,26-09-2021,False,1,Same as iPhone 12,B09G93H3BR,Blue,256 GB
2749,B09G9D8KRQ,India,15-06-2022,True,1,Started hanging in 12 days after purchase,B09G93H3BR,Blue,256 GB
2750,B09G9D8KRQ,India,15-09-2022,True,2,Phone is heating during clicking photos and watching videos.,B09G93H3BR,Blue,256 GB
2751,B09G9D8KRQ,India,25-07-2024,True,5,package and everything is fabulous,B09G9D8KRQ,Starlight,128 GB
2752,B09G9D8KRQ,India,23-07-2024,True,5,Superb phone,B09G9D8KRQ,Starlight,128 GB
2753,B09G9D8KRQ,India,23-07-2024,True,5,Good,B09G9D8KRQ,Starlight,128 GB
2754,B09G9D8KRQ,India,20-07-2024,True,5,Excellent.,B09G9D8KRQ,Starlight,128 GB
2755,B09G9D8KRQ,India,05-06-2024,True,5,A great choice,B09G9D8KRQ,Starlight,128 GB
2756,B09G9D8KRQ,India,17-07-2024,True,5,Performance,B09G9D8KRQ,Starlight,128 GB
